frame,labels_present,labels_tracked,labels_missing,missing_ids
0,10,10,0,
1,10,10,0,
2,10,10,0,
3,10,10,0,
4,10,10,0,
5,10,10,0,
6,10,10,0,
7,10,10,0,
8,10,10,0,
9,11,11,0,
10,10,10,0,
11,11,11,0,
12,11,11,0,
13,11,11,0,
14,11,11,0,
15,11,11,0,
16,11,11,0,
17,11,11,0,
18,11,11,0,
19,11,11,0,
20,11,11,0,
21,11,11,0,
22,12,12,0,
23,12,12,0,
24,12,12,0,
25,12,12,0,
26,12,12,0,
27,12,12,0,
28,12,12,0,
29,12,12,0,
30,13,13,0,
31,13,13,0,
32,13,13,0,
33,13,13,0,
34,13,13,0,
35,13,13,0,
36,14,14,0,
37,14,14,0,
38,14,14,0,
39,14,14,0,
40,14,14,0,
41,14,14,0,
42,13,13,0,
43,13,13,0,
44,13,13,0,
45,13,13,0,
46,13,13,0,
47,13,13,0,
48,13,13,0,
49,13,13,0,
50,13,13,0,
51,14,14,0,
52,13,13,0,
53,13,13,0,
54,13,13,0,
55,13,13,0,
56,13,13,0,
57,13,13,0,
58,13,13,0,
59,13,13,0,
60,14,14,0,
61,14,14,0,
62,15,15,0,
63,15,15,0,
64,16,16,0,
65,17,17,0,
66,18,18,0,
67,18,18,0,
68,17,17,0,
69,17,17,0,
70,16,16,0,
71,17,17,0,
72,17,17,0,
73,17,17,0,
74,18,18,0,
75,18,18,0,
76,17,17,0,
77,16,16,0,
78,16,16,0,
79,16,16,0,
80,16,16,0,
81,16,16,0,
82,16,16,0,
83,18,18,0,
