frame,track_id,centroid_x,centroid_y,label_at_centroid,centroid_on_own_mask
0,22,416.0,348.0,22,True
1,22,415.5,348.0,22,True
2,22,415.0,348.0,22,True
3,22,417.5,349.0,22,True
4,22,427.0,349.0,22,True
5,22,432.5,350.0,22,True
6,22,428.0,358.0,22,True
7,22,426.0,351.5,22,True
8,22,426.0,352.0,22,True
9,22,421.0,350.0,22,True
10,22,416.0,344.0,22,True
11,22,416.0,343.5,22,True
12,22,418.0,330.0,22,True
13,22,408.0,340.0,22,True
14,22,408.0,340.0,22,True
15,22,411.0,341.0,22,True
16,22,410.0,340.0,22,True
17,22,410.0,337.0,22,True
18,22,410.0,337.0,22,True
19,22,410.0,337.0,22,True
20,22,410.0,337.0,22,True
21,22,407.0,337.0,22,True
22,22,407.0,337.0,22,True
23,22,407.0,337.0,22,True
24,22,407.0,337.0,22,True
25,22,407.0,336.0,22,True
26,22,401.0,331.0,22,True
27,22,401.0,331.0,22,True
28,22,401.0,330.5,22,True
29,22,401.0,330.0,22,True
30,22,401.0,330.0,22,True
31,22,401.0,330.0,22,True
32,22,401.0,330.0,22,True
33,22,401.0,330.0,22,True
34,22,401.0,330.0,22,True
35,22,401.0,330.0,22,True
36,22,428.0,332.5,22,True
37,22,429.0,333.0,22,True
38,22,429.0,333.0,22,True
39,22,429.0,333.0,22,True
40,22,429.0,332.0,22,True
41,22,429.0,332.0,22,True
42,22,430.0,326.0,22,True
43,22,430.0,326.0,22,True
44,22,430.0,326.0,22,True
45,22,433.0,319.0,22,True
46,22,433.0,318.0,22,True
47,22,432.0,306.0,22,True
48,22,432.0,306.0,22,True
49,22,432.0,306.0,22,True
50,22,432.0,306.0,22,True
51,22,426.0,300.0,22,True
52,22,426.0,300.0,22,True
53,22,421.0,313.5,22,True
54,22,435.0,321.0,22,True
55,22,435.0,321.0,22,True
56,22,442.40086439762285,328.5991356023771,22,True
57,22,443.0,329.0,22,True
58,22,441.5,328.5,22,True
59,22,436.0,326.0,22,True
60,22,432.0,317.0,22,True
61,22,433.0,319.0,22,True
62,22,433.0,319.0,22,True
63,22,432.59913560237703,319.40086439762285,22,True
64,22,448.0,337.5,22,True
65,22,448.0,339.5,22,True
66,22,448.0,342.0,22,True
67,22,436.0,348.0,22,True
68,22,426.0,356.0,22,True
69,22,421.0,350.0,22,True
70,22,421.0,349.5,22,True
71,22,418.0,343.0,22,True
72,22,418.0,343.0,22,True
73,22,418.0,343.0,22,True
74,22,415.0,342.0,22,True
75,22,415.0,342.0,22,True
76,22,415.0,342.0,22,True
77,22,410.5,336.0,22,True
78,22,411.0,336.0,22,True
79,22,411.0,336.0,22,True
80,22,406.0,334.0,22,True
81,22,418.5,332.0,22,True
82,22,419.0,332.0,22,True
83,22,437.0,332.0,22,True
0,9,249.0,341.0,9,True
1,9,252.0,346.0,9,True
2,9,241.0,339.0,9,True
3,9,241.5,339.0,9,True
4,9,242.0,339.0,9,True
5,9,245.5,341.0,9,True
6,9,242.0,346.0,9,True
7,9,242.0,346.0,9,True
8,9,246.0,325.0,9,True
9,9,246.0,325.0,9,True
10,9,246.0,325.0,9,True
11,9,246.0,325.0,9,True
12,9,246.0,325.0,9,True
13,9,246.0,325.0,9,True
14,9,246.0,325.0,9,True
15,9,240.0,333.0,9,True
16,9,240.0,333.0,9,True
17,9,239.0,328.0,9,True
18,9,239.0,328.0,9,True
19,9,239.0,328.0,9,True
20,9,247.0,307.0,9,True
21,9,247.0,307.0,9,True
22,9,247.0,312.0,9,True
23,9,247.0,312.0,9,True
24,9,247.0,312.0,9,True
25,9,236.0,323.0,9,True
26,9,231.0,328.5,9,True
27,9,232.5,327.0,9,True
28,9,234.0,327.0,9,True
29,9,234.0,327.0,9,True
30,9,234.0,327.0,9,True
31,9,226.0,318.0,9,True
32,9,226.0,318.0,9,True
33,9,226.0,318.0,9,True
34,9,243.0,316.0,9,True
35,9,243.0,316.0,9,True
