frame,track_id,x,y,w,h,centroid_x,centroid_y,area
0,3,593,204,9,9,597.0,208.0,56.0
1,3,593,204,9,9,597.0,208.0,56.0
2,3,593,204,9,9,597.0,208.0,56.0
3,3,593,204,9,9,597.0,208.0,56.0
4,3,593,204,9,9,597.0,208.0,56.0
5,3,593,204,9,9,597.0,208.0,56.0
6,3,592,204,9,9,596.0,208.0,56.0
7,3,592,204,9,9,596.0,208.0,56.0
8,3,592,204,9,10,596.0,208.5,64.0
9,3,592,205,9,9,596.0,209.0,56.0
10,3,592,205,9,9,596.0,209.0,56.0
11,3,592,205,9,9,596.0,209.0,56.0
12,3,592,205,9,9,596.0,209.0,56.0
13,3,592,205,9,9,596.0,209.0,56.0
14,3,592,202,9,9,596.0,206.0,56.0
15,3,592,200,9,9,596.0,204.0,56.0
16,3,594,198,9,9,598.0,202.0,56.0
17,3,594,197,9,9,598.0,201.0,56.0
18,3,598,194,9,9,602.0,198.0,56.0
19,3,599,194,9,9,603.0,198.0,56.0
20,3,600,194,9,9,604.0,198.0,56.0
21,3,599,195,9,9,603.0,199.0,56.0
22,3,599,195,9,9,603.0,199.0,56.0
23,3,602,198,9,9,606.0,202.0,56.0
24,3,602,199,9,10,606.0,203.5,64.0
25,3,602,199,9,9,606.0,203.0,56.0
26,3,603,199,10,10,607.5,203.5,68.0
27,3,605,201,9,10,609.0,205.5,64.0
28,3,606,202,9,9,610.0,206.0,56.0
29,3,606,201,10,10,610.5,205.5,68.0
0,13,551,689,9,9,555.0,693.0,56.0
1,13,551,689,9,9,555.0,693.0,56.0
2,13,551,689,9,9,555.0,693.0,56.0
3,13,551,689,9,9,555.0,693.0,56.0
4,13,551,689,9,9,555.0,693.0,56.0
5,13,551,689,9,9,555.0,693.0,56.0
6,13,551,689,9,9,555.0,693.0,56.0
7,13,551,689,9,9,555.0,693.0,56.0
8,13,551,689,9,9,555.0,693.0,56.0
9,13,551,689,9,9,555.0,693.0,56.0
10,13,551,689,9,9,555.0,693.0,56.0
11,13,551,689,9,9,555.0,693.0,56.0
12,13,551,689,9,9,555.0,693.0,56.0
13,13,551,689,9,9,555.0,693.0,56.0
14,13,551,689,9,9,555.0,693.0,56.0
15,13,551,689,9,9,555.0,693.0,56.0
16,13,551,689,9,9,555.0,693.0,56.0
17,13,551,689,9,9,555.0,693.0,56.0
18,13,551,689,9,9,555.0,693.0,56.0
19,13,551,689,9,9,555.0,693.0,56.0
20,13,551,689,9,9,555.0,693.0,56.0
21,13,551,689,9,9,555.0,693.0,56.0
22,13,551,689,9,9,555.0,693.0,56.0
23,13,551,689,9,9,555.0,693.0,56.0
24,13,551,689,9,9,555.0,693.0,56.0
25,13,551,689,9,9,555.0,693.0,56.0
26,13,551,689,9,9,555.0,693.0,56.0
27,13,551,689,9,9,555.0,693.0,56.0
28,13,554,695,9,9,558.0,699.0,56.0
29,13,554,695,9,9,558.0,699.0,56.0
0,21,56,936,9,9,60.0,940.0,56.0
1,21,56,936,9,9,60.0,940.0,56.0
2,21,56,936,9,9,60.0,940.0,56.0
3,21,56,936,9,9,60.0,940.0,56.0
4,21,56,936,9,9,60.0,940.0,56.0
5,21,55,938,9,9,59.0,942.0,56.0
6,21,55,938,9,9,59.0,942.0,56.0
7,21,55,936,9,9,59.0,940.0,56.0
8,21,54,929,9,9,58.0,933.0,56.0
9,21,54,929,9,9,58.0,933.0,56.0
10,21,54,929,9,9,58.0,933.0,56.0
11,21,54,933,9,9,58.0,937.0,56.0
12,21,53,938,9,9,57.0,942.0,56.0
13,21,53,942,9,9,57.0,946.0,56.0
14,21,55,938,9,9,59.0,942.0,56.0
15,21,58,936,9,9,62.0,940.0,56.0
16,21,56,939,9,9,60.0,943.0,56.0
17,21,54,935,9,9,58.0,939.0,56.0
18,21,53,937,9,9,57.0,941.0,56.0
19,21,54,936,9,9,58.0,940.0,56.0
20,21,54,936,9,9,58.0,940.0,56.0
21,21,54,936,9,9,58.0,940.0,56.0
22,21,54,935,9,9,58.0,939.0,56.0
23,21,54,935,9,9,58.0,939.0,56.0
24,21,54,935,9,9,58.0,939.0,56.0
25,21,54,935,9,9,58.0,939.0,56.0
26,21,54,935,9,9,58.0,939.0,56.0
27,21,58,932,9,9,62.0,936.0,56.0
28,21,58,932,9,9,62.0,936.0,56.0
29,21,63,932,9,9,67.0,936.0,56.0
0,23,826,925,9,9,830.0,929.0,56.0
1,23,826,925,9,9,830.0,929.0,56.0
2,23,826,925,9,9,830.0,929.0,56.0
3,23,826,925,9,9,830.0,929.0,56.0
4,23,826,925,9,9,830.0,929.0,56.0
5,23,823,926,9,9,827.0,930.0,56.0
6,23,823,926,9,9,827.0,930.0,56.0
7,23,823,926,9,9,827.0,930.0,56.0
8,23,823,926,9,9,827.0,930.0,56.0
9,23,823,926,9,9,827.0,930.0,56.0
10,23,824,931,9,9,828.0,935.0,56.0
11,23,827,933,9,9,831.0,937.0,56.0
12,23,827,933,9,9,831.0,937.0,56.0
13,23,828,934,9,9,832.0,938.0,56.0
