frame,track_id,centroid_x,centroid_y,label_at_centroid,centroid_on_own_mask
0,6,191.0,431.0,6,True
1,6,191.0,431.0,6,True
2,6,191.0,431.0,6,True
3,6,191.0,431.0,6,True
4,6,191.0,431.0,6,True
5,6,191.0,431.0,6,True
6,6,191.0,431.0,6,True
7,6,191.0,431.0,6,True
8,6,191.0,431.0,6,True
9,6,191.0,431.0,6,True
10,6,191.0,431.0,6,True
11,6,191.0,431.0,6,True
12,6,191.0,431.0,6,True
13,6,191.0,431.0,6,True
14,6,191.0,431.0,6,True
15,6,191.0,431.0,6,True
16,6,191.0,431.0,6,True
17,6,191.0,431.0,6,True
18,6,191.0,431.0,6,True
19,6,191.0,431.0,6,True
20,6,191.0,431.0,6,True
21,6,191.0,431.0,6,True
22,6,191.0,431.0,6,True
23,6,191.0,431.0,6,True
24,6,191.0,431.0,6,True
25,6,191.0,431.0,6,True
26,6,191.0,431.0,6,True
27,6,191.0,431.0,6,True
28,6,191.0,431.0,6,True
29,6,191.0,431.0,6,True
0,2,86.0,155.0,2,True
1,2,86.0,153.0,2,True
2,2,86.0,153.0,2,True
3,2,86.0,153.0,2,True
4,2,86.0,153.0,2,True
5,2,86.0,153.0,2,True
6,2,86.0,153.0,2,True
7,2,86.0,153.0,2,True
8,2,86.0,153.0,2,True
9,2,86.0,153.0,2,True
10,2,86.0,153.0,2,True
11,2,86.0,153.0,2,True
12,2,86.0,153.0,2,True
13,2,86.0,153.0,2,True
14,2,86.0,153.0,2,True
15,2,86.0,153.0,2,True
16,2,86.0,153.0,2,True
17,2,86.0,151.0,2,True
18,2,86.0,148.0,2,True
19,2,86.0,148.0,2,True
20,2,86.0,148.0,2,True
21,2,86.0,148.0,2,True
22,2,86.0,148.0,2,True
23,2,86.0,148.0,2,True
24,2,86.0,148.0,2,True
25,2,86.0,148.0,2,True
26,2,86.0,148.0,2,True
27,2,86.0,148.0,2,True
28,2,86.0,148.0,2,True
29,2,86.0,148.0,2,True
0,19,658.0,615.0,19,True
1,19,658.0,615.0,19,True
2,19,657.0,612.0,19,True
3,19,656.0,613.0,19,True
4,19,656.0,613.0,19,True
5,19,656.0,613.0,19,True
6,19,655.0,614.5,19,True
7,19,655.0,615.0,19,True
8,19,655.0,615.0,19,True
9,19,655.0,615.0,19,True
10,19,655.0,615.0,19,True
11,19,655.0,613.0,19,True
12,19,655.0,613.0,19,True
13,19,655.0,613.0,19,True
14,19,656.0,614.0,19,True
15,19,656.0,613.0,19,True
16,19,656.0,613.0,19,True
17,19,656.0,613.0,19,True
18,19,656.0,613.0,19,True
19,19,656.0,613.0,19,True
20,19,656.0,613.0,19,True
21,19,655.0,612.0,19,True
22,19,655.0,612.0,19,True
23,19,655.0,612.0,19,True
24,19,655.0,612.0,19,True
25,19,655.0,612.0,19,True
26,19,655.0,612.0,19,True
27,19,655.0,612.0,19,True
28,19,655.0,612.0,19,True
29,19,655.0,612.0,19,True
0,73,480.0,905.0,73,True
1,73,477.0,904.0,73,True
2,73,474.0,902.0,73,True
3,73,475.0,901.0,73,True
4,73,475.0,901.0,73,True
5,73,474.0,900.0,73,True
6,73,474.0,900.0,73,True
7,73,474.0,900.0,73,True
8,73,474.0,899.0,73,True
9,73,475.0,899.0,73,True
10,73,476.0,899.0,73,True
11,73,477.0,898.0,73,True
12,73,477.0,898.0,73,True
13,73,477.0,898.0,73,True
14,73,478.0,898.0,73,True
15,73,479.0,898.0,73,True
16,73,481.0,898.0,73,True
17,73,483.0,901.0,73,True
18,73,484.0,902.0,73,True
19,73,485.0,903.0,73,True
20,73,484.0,903.0,73,True
21,73,484.0,904.0,73,True
22,73,483.0,905.0,73,True
23,73,483.0,906.0,73,True
24,73,483.0,906.0,73,True
25,73,481.0,906.0,73,True
26,73,478.0,906.0,73,True
27,73,477.0,907.0,73,True
28,73,477.0,907.0,73,True
29,73,478.0,908.0,73,True
0,60,681.0,710.0,60,True
1,60,681.0,708.0,60,True
2,60,679.0,708.0,60,True
3,60,676.0,708.0,60,True
4,60,674.0,707.0,60,True
5,60,670.0,706.0,60,True
6,60,670.0,706.0,60,True
7,60,670.0,706.0,60,True
8,60,671.0,708.0,60,True
9,60,673.0,710.0,60,True
10,60,675.0,710.0,60,True
11,60,675.0,707.0,60,True
12,60,672.0,708.0,60,True
13,60,672.0,709.0,60,True
14,60,672.0,706.0,60,True
15,60,672.0,706.0,60,True
16,60,672.0,706.0,60,True
17,60,672.0,705.0,60,True
18,60,672.0,705.0,60,True
19,60,674.0,705.0,60,True
20,60,674.0,706.0,60,True
21,60,675.0,708.0,60,True
