TrackID,Cell_Type,Frames,Duration_min,Start_X_um,Start_Y_um,End_X_um,End_Y_um,Total_Distance_um,Displacement_um,CDE,Avg_Velocity_um_min,Max_Velocity_um_min,Std_Velocity_um_min,Persistence,Final_Angle_deg,Angular_Std_deg,MSD_10,MSD_20
6,Cell,30,29.0,191.0,431.0,191.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0
2,Cell,30,29.0,86.0,155.0,86.0,148.0,7.0,7.0,1.0,0.2413793103448276,3.0,0.7265968105415682,0.8928571428571429,-90.0,25.952700090005827,12.1,27.4
19,Cell,30,29.0,658.0,615.0,655.0,612.0,12.707693985019661,4.242640687119285,0.33386393252156366,0.4381963443110227,3.1622776601683795,0.8079675426892792,0.44259244260843483,-135.0,51.289735336409024,3.5125,6.925
73,Cell,30,29.0,480.0,905.0,478.0,908.0,36.68708871008111,3.605551275463989,0.09827847894818736,1.2650720244855556,3.605551275463989,1.0270176175008494,0.40804460362769074,123.6900675259798,85.63872365304853,66.65,69.5
60,Cell,30,29.0,681.0,710.0,673.0,706.0,42.23622790540469,8.94427190999916,0.2117677726815803,1.4564216519105069,4.123105625617661,1.1815571721912639,0.2118179517822263,-153.43494882292202,104.33352317393097,12.7,20.0
72,Cell,30,29.0,478.0,883.0,486.0,883.0,55.76814879144218,8.0,0.14345105895334342,1.9230396134980061,4.123105625617661,1.1854817251984562,0.027116994693773128,0.0,98.93475804060945,89.05,135.1
63,Cell,30,29.0,700.0,804.0,701.0,802.0,50.71611097768999,2.23606797749979,0.044089894402262735,1.748831413023793,4.242640687119285,1.2360402846885405,-0.010971156898177906,-63.43494882292201,96.4087791485278,7.75,9.1
66,Cell,30,29.0,725.0,974.0,740.0,965.0,52.4625102502924,17.4928556845359,0.3334353541429788,1.8090520775962897,4.47213595499958,1.1309530133810077,0.3101555419656511,-30.96375653207352,85.7606882102023,40.5,130.0
1,Cell,30,29.0,132.0,70.0,142.0,67.0,10.99070478491457,10.44030650891055,0.949921475758363,0.3789898201694679,5.0,1.157205831690097,0.9754135770883615,-16.69924423399362,8.614614026383416,21.0,71.6
16,Cell,30,29.0,498.0,588.0,490.0,565.0,44.5040213403814,24.351591323771842,0.5471773244382313,1.5346214255303932,5.385164807134504,1.6938344108375962,0.15835699743252313,-109.17900802581073,84.55587099059287,74.225,237.4
54,Cell,30,29.0,300.0,985.5,292.0,985.0,43.075800907391624,8.0156097709407,0.18608150288774444,1.48537244508247,5.830951894845301,1.7347005334549923,0.03332807841069512,-176.42366562500266,97.4016095171256,31.8125,12.625
4,Cell,30,29.0,180.0,316.0,171.0,315.0,9.16227766016838,9.055385138137417,0.9883334116258382,0.3159406089713234,6.0,1.2191753065718451,0.7179511929963918,-173.6598082540901,30.99164407268696,20.0,54.4
65,Cell,30,29.0,845.0,909.0,856.0,897.0,76.25971198078663,16.278820596099706,0.21346553997215592,2.6296452407167803,6.082762530298219,1.785613111465542,0.03644586838685414,-47.48955292199916,90.62495399153234,108.7,149.0
53,Cell,30,29.0,18.0,983.0,37.0,974.0,60.24820370003678,21.02379604162864,0.34895307661456143,2.07752426551851,6.324555320336759,1.399912495532236,0.19838545733404653,-25.346175941946694,78.41933662003291,81.7,160.6
41,Cell,30,29.0,104.0,840.0,131.0,823.0,88.45131802705703,31.906112267087632,0.36071946669384436,3.050045449208863,7.0710678118654755,2.275957244424851,0.3869854247637127,-32.19573393471325,68.21314275467572,498.25,1221.1
44,Cell,30,29.0,129.0,933.0,152.0,933.0,33.9625044890621,23.0,0.6772174298101996,1.171120844450417,7.0710678118654755,2.027617959178552,0.7638860112023859,0.0,30.31432525537038,87.5,297.4
5,Cell,30,29.0,226.0,364.0,229.0,357.0,7.615773105863909,7.615773105863909,1.0,0.26261286571944514,7.615773105863909,1.3896166675593025,0.9567085213270834,-66.80140948635182,11.628966922918613,14.5,29.0
36,Cell,30,29.0,105.0,742.0,106.0,728.0,40.12026789864276,14.035668847618199,0.3498398585741502,1.383457513746302,7.810249675906654,1.8146464833082607,0.33761914718420655,-85.91438322002512,70.73896405322655,33.7,86.0
